Unnamed: 0,Record,Field,Value,idx,Name,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
7665,55_80,Ag,32.31671579674003,7665,Ag_55_80,55,80,Py,Other,Py-Other
7623,54_67,Ag,38.321356642016326,7623,Ag_54_67,54,67,Py,Other,Py-Other
15437,63_80,Ni,-69.80877288174815,15437,Ni_63_80,63,80,Py,Other,Py-Other
19542,60_87,Pt,-52.14325579615979,19542,Pt_60_87,60,87,Py,Other,Py-Other
15377,60_79,Ni,-56.72396361765277,15377,Ni_60_79,60,79,Py,Other,Py-Other
7918,63_89,Ag,17.194513540380285,7918,Ag_63_89,63,89,Py,Other,Py-Other
16809,58_88,Pd,-43.74217279010918,16809,Pd_58_88,58,88,Py,Other,Py-Other
15205,54_86,Ni,-61.7645260328718,15205,Ni_54_86,54,86,Py,Other,Py-Other
19424,57_88,Pt,-53.38316510928416,19424,Pt_57_88,57,88,Py,Other,Py-Other
7594,53_68,Ag,29.004005260387203,7594,Ag_53_68,53,68,Py,Other,Py-Other
12142,51_69,Cu,6.2148919690953335,12142,Cu_51_69,51,69,Py,Other,Py-Other
12277,56_68,Cu,16.65737940784311,12277,Cu_56_68,56,68,Py,Other,Py-Other
12312,57_85,Cu,-5.096877079078695,12312,Cu_57_85,57,85,Py,Other,Py-Other
10033,59_71,Au,16.377682508638827,10033,Au_59_71,59,71,Py,Other,Py-Other
7842,60_67,Ag,31.493623230140656,7842,Ag_60_67,60,67,Py,Other,Py-Other
9887,53_88,Au,3.384704743279144,9887,Au_53_88,53,88,Py,Other,Py-Other
7603,53_79,Ag,31.595792764492217,7603,Ag_53_79,53,79,Py,Other,Py-Other
16773,55_88,Pd,-41.69419122528052,16773,Pd_55_88,55,88,Py,Other,Py-Other
16874,61_89,Pd,-43.71709044909221,16874,Pd_61_89,61,89,Py,Other,Py-Other
15232,56_71,Ni,-41.4869590580638,15232,Ni_56_71,56,71,Py,Other,Py-Other
19651,66_79,Pt,-41.71908770771552,19651,Pt_66_79,66,79,Py,Other,Py-Other
4729,53_67,Pd,-37.8,4729,Pd_53_67,53,67,Py,Other,Py-Other
12435,61_85,Cu,-6.46613042181707,12435,Cu_61_85,61,85,Py,Other,Py-Other
15429,63_68,Ni,-63.085284409549786,15429,Ni_63_68,63,68,Py,Other,Py-Other
7898,62_87,Ag,23.036389193235664,7898,Ag_62_87,62,87,Py,Other,Py-Other
15466,64_90,Ni,-60.98498548180214,15466,Ni_64_90,64,90,Py,Other,Py-Other
19559,61_87,Pt,-51.38261523929396,19559,Pt_61_87,61,87,Py,Other,Py-Other
7566,52_68,Ag,30.803151234606048,7566,Ag_52_68,52,68,Py,Other,Py-Other
2597,60_67,Cu,4.28,2597,Cu_60_67,60,67,Py,Other,Py-Other
15268,57_86,Ni,-67.33867343462771,15268,Ni_57_86,57,86,Py,Other,Py-Other
10173,63_90,Au,1.793186076974962,10173,Au_63_90,63,90,Py,Other,Py-Other
4836,60_68,Pd,-39.59,4836,Pd_60_68,60,68,Py,Other,Py-Other
12155,51_87,Cu,7.880668047204381,12155,Cu_51_87,51,87,Py,Other,Py-Other
9879,53_80,Au,10.119312469279976,9879,Au_53_80,53,80,Py,Other,Py-Other
15139,52_70,Ni,-62.97370305520599,15139,Ni_52_70,52,70,Py,Other,Py-Other
7642,54_90,Ag,22.58763562225795,7642,Ag_54_90,54,90,Py,Other,Py-Other
4818,58_71,Pd,-17.61,4818,Pd_58_71,58,71,Py,Other,Py-Other
9977,57_68,Au,5.391004862809496,9977,Au_57_68,57,68,Py,Other,Py-Other
7774,59_85,Ag,16.534211855614558,7774,Ag_59_85,59,85,Py,Other,Py-Other
10216,66_70,Au,4.64677621275041,10216,Au_66_70,66,70,Py,Other,Py-Other
12249,55_67,Cu,19.8366984508466,12249,Cu_55_67,55,67,Py,Other,Py-Other
7922,64_67,Ag,32.111033132721786,7922,Ag_64_67,64,67,Py,Other,Py-Other
19641,65_89,Pt,-54.44157381578407,19641,Pt_65_89,65,89,Py,Other,Py-Other
15406,61_90,Ni,-62.10111107143166,15406,Ni_61_90,61,90,Py,Other,Py-Other
10177,64_71,Au,13.33344438131462,10177,Au_64_71,64,71,Py,Other,Py-Other
16786,56_88,Pd,-42.634751058911206,16786,Pd_56_88,56,88,Py,Other,Py-Other
12307,57_80,Cu,8.201355845085345,12307,Cu_57_80,57,80,Py,Other,Py-Other
15204,54_85,Ni,-64.79857158020604,15204,Ni_54_85,54,85,Py,Other,Py-Other
12415,60_85,Cu,-8.674949727443163,12415,Cu_60_85,60,85,Py,Other,Py-Other
10117,61_69,Au,5.449624147135182,10117,Au_61_69,61,69,Py,Other,Py-Other
19562,61_90,Pt,-51.39201349092764,19562,Pt_61_90,61,90,Py,Other,Py-Other
12331,58_80,Cu,7.448816531978082,12331,Cu_58_80,58,80,Py,Other,Py-Other
19354,54_89,Pt,-51.57501894834422,19354,Pt_54_89,54,89,Py,Other,Py-Other
9967,56_90,Au,4.694866998943326,9967,Au_56_90,56,90,Py,Other,Py-Other
7939,64_85,Ag,20.016588604819844,7939,Ag_64_85,64,85,Py,Other,Py-Other
16690,50_89,Pd,-43.24443628445442,16690,Pd_50_89,50,89,Py,Other,Py-Other
7905,63_71,Ag,36.0213364293013,7905,Ag_63_71,63,71,Py,Other,Py-Other
19277,51_86,Pt,-52.89699117775308,19277,Pt_51_86,51,86,Py,Other,Py-Other
469,58_70,Ag,25.6173,469,Ag_58_70,58,70,Py,Other,Py-Other
4709,52_70,Pd,-43.06,4709,Pd_52_70,52,70,Py,Other,Py-Other
10046,59_88,Au,2.5104692419117782,10046,Au_59_88,59,88,Py,Other,Py-Other
9855,52_90,Au,2.7137463623075746,9855,Au_52_90,52,90,Py,Other,Py-Other
15114,51_71,Ni,-45.33842246483255,15114,Ni_51_71,51,71,Py,Other,Py-Other
7960,65_88,Ag,25.63284913463576,7960,Ag_65_88,65,88,Py,Other,Py-Other
7579,52_89,Ag,26.05595967719273,7579,Ag_52_89,52,89,Py,Other,Py-Other
7655,55_68,Ag,31.27305968636938,7655,Ag_55_68,55,68,Py,Other,Py-Other
16774,55_89,Pd,-40.69097682676511,16774,Pd_55_89,55,89,Py,Other,Py-Other
9923,55_71,Au,18.297549101109325,9923,Au_55_71,55,71,Py,Other,Py-Other
10167,63_80,Au,5.914083474403014,10167,Au_63_80,63,80,Py,Other,Py-Other
4867,62_71,Pd,-18.24,4867,Pd_62_71,62,71,Py,Other,Py-Other
15212,55_70,Ni,-59.2136151984887,15212,Ni_55_70,55,70,Py,Other,Py-Other
19320,53_79,Pt,-43.63720466862287,19320,Pt_53_79,53,79,Py,Other,Py-Other
7874,61_85,Ag,17.327032553468598,7874,Ag_61_85,61,85,Py,Other,Py-Other
7853,60_85,Ag,19.14393733072211,7853,Ag_60_85,60,85,Py,Other,Py-Other
15242,56_86,Ni,-67.40165355114732,15242,Ni_56_86,56,86,Py,Other,Py-Other
12278,56_69,Cu,11.804166331217855,12278,Cu_56_69,56,69,Py,Other,Py-Other
15391,61_67,Ni,-58.78778571615112,15391,Ni_61_67,61,67,Py,Other,Py-Other
15282,58_80,Ni,-62.48782628220215,15282,Ni_58_80,58,80,Py,Other,Py-Other
12492,64_85,Cu,-4.248128976731096,12492,Cu_64_85,64,85,Py,Other,Py-Other
12362,59_89,Cu,-1.4542656690755391,12362,Cu_59_89,59,89,Py,Other,Py-Other
9908,54_86,Au,5.385978210630128,9908,Au_54_86,54,86,Py,Other,Py-Other
19655,66_85,Pt,-50.63177879418072,19655,Pt_66_85,66,85,Py,Other,Py-Other
9821,51_88,Au,3.934392877701612,9821,Au_51_88,51,88,Py,Other,Py-Other
16772,55_87,Pd,-39.45830194969312,16772,Pd_55_87,55,87,Py,Other,Py-Other
10214,66_68,Au,8.170446551528585,10214,Au_66_68,66,68,Py,Other,Py-Other
7550,51_90,Ag,21.596168635762297,7550,Ag_51_90,51,90,Py,Other,Py-Other
15486,65_86,Ni,-75.78104390839871,15486,Ni_65_86,65,86,Py,Other,Py-Other
16854,60_86,Pd,-46.18230193709314,16854,Pd_60_86,60,86,Py,Other,Py-Other
10192,64_90,Au,-1.2714359597666771,10192,Au_64_90,64,90,Py,Other,Py-Other
16796,57_86,Pd,-47.09828042698791,16796,Pd_57_86,57,86,Py,Other,Py-Other
7758,59_67,Ag,30.480566221362096,7758,Ag_59_67,59,67,Py,Other,Py-Other
16929,65_89,Pd,-49.01600179907109,16929,Pd_65_89,65,89,Py,Other,Py-Other
12330,58_79,Cu,11.950074013017002,12330,Cu_58_79,58,79,Py,Other,Py-Other
16780,56_79,Pd,-30.79635384760332,16780,Pd_56_79,56,79,Py,Other,Py-Other
2914,51_68,Ni,-60.8217,2914,Ni_51_68,51,68,Py,Other,Py-Other
7975,66_80,Ag,32.779129177113646,7975,Ag_66_80,66,80,Py,Other,Py-Other
2590,58_68,Cu,9.52,2590,Cu_58_68,58,68,Py,Other,Py-Other
16928,65_87,Pd,-45.89307864413422,16928,Pd_65_87,65,87,Py,Other,Py-Other
12338,58_89,Cu,-1.6630654886103002,12338,Cu_58_89,58,89,Py,Other,Py-Other
15418,62_80,Ni,-61.08565713319695,15418,Ni_62_80,62,80,Py,Other,Py-Other
19417,57_80,Pt,-52.148056443526,19417,Pt_57_80,57,80,Py,Other,Py-Other
15500,66_79,Ni,-50.17061598954024,15500,Ni_66_79,66,79,Py,Other,Py-Other
15450,64_70,Ni,-66.33559985336615,15450,Ni_64_70,64,70,Py,Other,Py-Other
19397,56_90,Pt,-51.09196204599721,19397,Pt_56_90,56,90,Py,Other,Py-Other
15288,58_88,Ni,-69.95042714157898,15288,Ni_58_88,58,88,Py,Other,Py-Other
7727,57_85,Ag,18.78730232136149,7727,Ag_57_85,57,85,Py,Other,Py-Other
12526,66_86,Cu,0.1433802817336982,12526,Cu_66_86,66,86,Py,Other,Py-Other
10215,66_69,Au,7.184595706945402,10215,Au_66_69,66,69,Py,Other,Py-Other
15206,54_88,Ni,-62.680413499547285,15206,Ni_54_88,54,88,Py,Other,Py-Other
5558,66_71,Pt,-27.3807,5558,Pt_66_71,66,71,Py,Other,Py-Other
12157,51_89,Cu,-2.7237905995134497,12157,Cu_51_89,51,89,Py,Other,Py-Other
2542,51_67,Cu,21.29,2542,Cu_51_67,51,67,Py,Other,Py-Other
15504,66_88,Ni,-63.90800540029886,15504,Ni_66_88,66,88,Py,Other,Py-Other
7715,57_69,Ag,30.536857840997985,7715,Ag_57_69,57,69,Py,Other,Py-Other
15237,56_79,Ni,-54.044449176697526,15237,Ni_56_79,56,79,Py,Other,Py-Other
10154,62_89,Au,1.1102785680559464,10154,Au_62_89,62,89,Py,Other,Py-Other
15428,63_67,Ni,-65.42752709556953,15428,Ni_63_67,63,67,Py,Other,Py-Other
2558,53_71,Cu,15.11,2558,Cu_53_71,53,71,Py,Other,Py-Other
15200,54_79,Ni,-50.88268204772612,15200,Ni_54_79,54,79,Py,Other,Py-Other
9847,52_79,Au,9.52167531804298,9847,Au_52_79,52,79,Py,Other,Py-Other
19602,64_67,Pt,-51.47676583370048,19602,Pt_64_67,64,67,Py,Other,Py-Other
19555,61_80,Pt,-51.30823946557212,19555,Pt_61_80,61,80,Py,Other,Py-Other
4911,65_69,Pd,-43.7,4911,Pd_65_69,65,69,Py,Other,Py-Other
19621,64_89,Pt,-53.632976599597896,19621,Pt_64_89,64,89,Py,Other,Py-Other
12410,60_80,Cu,9.141940137356867,12410,Cu_60_80,60,80,Py,Other,Py-Other
10030,59_68,Au,7.553738729657198,10030,Au_59_68,59,68,Py,Other,Py-Other
19326,53_88,Pt,-51.285094285121886,19326,Pt_53_88,53,88,Py,Other,Py-Other
15264,57_80,Ni,-62.12166938793962,15264,Ni_57_80,57,80,Py,Other,Py-Other
12258,55_79,Cu,13.873055326825124,12258,Cu_55_79,55,79,Py,Other,Py-Other
9870,53_70,Au,1.1982921839153278,9870,Au_53_70,53,70,Py,Other,Py-Other
16865,61_79,Pd,-34.76239880087087,16865,Pd_61_79,61,79,Py,Other,Py-Other
19442,58_89,Pt,-54.705022993650346,19442,Pt_58_89,58,89,Py,Other,Py-Other
4776,55_69,Pd,-38.05,4776,Pd_55_69,55,69,Py,Other,Py-Other
16719,52_80,Pd,-38.33427540835692,16719,Pd_52_80,52,80,Py,Other,Py-Other
15263,57_79,Ni,-59.67316741409013,15263,Ni_57_79,57,79,Py,Other,Py-Other
19240,50_70,Pt,-48.512725374646834,19240,Pt_50_70,50,70,Py,Other,Py-Other
4707,52_68,Pd,-36.99,4707,Pd_52_68,52,68,Py,Other,Py-Other
12347,59_67,Cu,6.732869335246505,12347,Cu_59_67,59,67,Py,Other,Py-Other
15154,52_87,Ni,-62.57358478018432,15154,Ni_52_87,52,87,Py,Other,Py-Other
19618,64_86,Pt,-56.77462125771126,19618,Pt_64_86,64,86,Py,Other,Py-Other
19623,65_67,Pt,-51.69233327587426,19623,Pt_65_67,65,67,Py,Other,Py-Other
19565,62_71,Pt,-30.750883426131622,19565,Pt_62_71,62,71,Py,Other,Py-Other
7654,55_67,Ag,38.04233209608356,7654,Ag_55_67,55,67,Py,Other,Py-Other
7961,65_89,Ag,19.36627573358419,7961,Ag_65_89,65,89,Py,Other,Py-Other
10047,59_89,Au,0.6209550702551496,10047,Au_59_89,59,89,Py,Other,Py-Other
19422,57_86,Pt,-55.1800981934648,19422,Pt_57_86,57,86,Py,Other,Py-Other
4828,59_69,Pd,-39.7,4828,Pd_59_69,59,69,Py,Other,Py-Other
15385,60_87,Ni,-66.20050451018324,15385,Ni_60_87,60,87,Py,Other,Py-Other
12475,63_85,Cu,-4.427671579818707,12475,Cu_63_85,63,85,Py,Other,Py-Other
15469,65_68,Ni,-68.46566521149362,15469,Ni_65_68,65,68,Py,Other,Py-Other
15417,62_79,Ni,-61.68898620220716,15417,Ni_62_79,62,79,Py,Other,Py-Other
16939,66_80,Pd,-33.47358561366855,16939,Pd_66_80,66,80,Py,Other,Py-Other
15168,53_80,Ni,-64.2980143144232,15168,Ni_53_80,53,80,Py,Other,Py-Other
2550,52_68,Cu,9.55,2550,Cu_52_68,52,68,Py,Other,Py-Other
19423,57_87,Pt,-53.17914174625184,19423,Pt_57_87,57,87,Py,Other,Py-Other
